datetime,search_config,query_set_id,query,metric,value
2024-07-01,research_1,sampled_queries,fishing pole,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,fitbitcharge 3 bands,dcg,1.0
2024-07-01,research_1,sampled_queries,flick 雑誌,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,fnaf action figures pizza simulator,dcg,1.0
2024-07-01,research_1,sampled_queries,ghs silk and steel acoustic guitar strings,dcg,0.0
2024-07-01,research_1,sampled_queries,gi blues,dcg,0.0
2024-07-01,research_1,sampled_queries,giant genie hat,dcg,1.0452840130309937
2024-07-01,research_1,sampled_queries,gold shirt women,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,gold watches for men,dcg,1.0
2024-07-01,research_1,sampled_queries,graduation gifts,dcg,1.5118473023725334
2024-07-01,research_1,sampled_queries,green wall decals,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,grey pocket book,dcg,0.0
2024-07-01,research_1,sampled_queries,habitrail ovo twist,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,harley quinn costume for toddler girls,dcg,0.0
2024-07-01,research_1,sampled_queries,haven dvd,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,headboard king,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,heinkels knife set,dcg,1.0
2024-07-01,research_1,sampled_queries,honda fit key,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,honor 20 pro,dcg,0.1170574755672868
2024-07-01,research_1,sampled_queries,interior lights dome lights kit,dcg,1.0
2024-07-01,research_1,sampled_queries,iphone charger without electricity,dcg,2.5616063116448506
2024-07-01,research_1,sampled_queries,iphone10r フィルム,dcg,0.0
2024-07-01,research_1,sampled_queries,jewelry sack bag velvet,dcg,1.0
2024-07-01,research_1,sampled_queries,jumbo blunt wraps,dcg,1.0
2024-07-01,research_1,sampled_queries,key alike padlocks,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,kobe baby jersey,dcg,1.0
2024-07-01,research_1,sampled_queries,led fluorescent replacement bulbs,dcg,1.0
2024-07-01,research_1,sampled_queries,lg ultrafine 5k display for mac,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,little red hen bilingual,dcg,0.7385899473758972
2024-07-01,research_1,sampled_queries,look,dcg,1.0
2024-07-01,research_1,sampled_queries,luces bicicleta fixie,dcg,1.0
2024-07-01,research_1,sampled_queries,magnetic watch band,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,maybelline マスカラ,dcg,1.576195160837134
2024-07-01,research_1,sampled_queries,meggs’ history of graphic design,dcg,0.7027032161077507
2024-07-01,research_1,sampled_queries,memory foam pillow,dcg,0.0
2024-07-01,research_1,sampled_queries,mickey mouse ears,dcg,1.0
2024-07-01,research_1,sampled_queries,mikiwi eyelashes 25mm,dcg,0.07177346253629313
2024-07-01,research_1,sampled_queries,modern wall mount sink,dcg,0.006955550056718884
2024-07-01,research_1,sampled_queries,mp5,dcg,0.011344013539958467
2024-07-01,research_1,sampled_queries,mr crappie sausage head,dcg,0.0
2024-07-01,research_1,sampled_queries,máquinas de coser,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,nail light,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,narrow shelf unit,dcg,0.0
2024-07-01,research_1,sampled_queries,newborn baby gifts,dcg,0.6309297535714575
2024-07-01,research_1,sampled_queries,nike sunray adjust 4,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,ninja blender,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,northface hydration packs,dcg,1.0
2024-07-01,research_1,sampled_queries,notebook touch,dcg,0.15294420683543336
2024-07-01,research_1,sampled_queries,omron x7,dcg,0.11903744216199946
2024-07-01,research_1,sampled_queries,one man and his dog,dcg,0.5
2024-07-01,research_1,sampled_queries,oven liners for bottom of oven,dcg,1.0
2024-07-01,research_1,sampled_queries,pantalon agua moto hombre,dcg,1.5043884634832396
2024-07-01,research_1,sampled_queries,pegatinas sm,dcg,1.0
2024-07-01,research_1,sampled_queries,peru travel adapter,dcg,0.0
2024-07-01,research_1,sampled_queries,picture room,dcg,2.1309297535714578
2024-07-01,research_1,sampled_queries,pillow for sleeping,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,pin to hold wedding invitations together,dcg,1.0452840130309937
2024-07-01,research_1,sampled_queries,plastic kiddie pool for dogs,dcg,1.0
2024-07-01,research_1,sampled_queries,plus size tunics for women 3x,dcg,1.0
2024-07-01,research_1,sampled_queries,poppy seeds,dcg,1.0
2024-07-01,research_1,sampled_queries,pork,dcg,1.0
2024-07-01,research_1,sampled_queries,princess revlon,dcg,0.15294420683543336
2024-07-01,research_1,sampled_queries,projecting night light for kids,dcg,1.0
2024-07-01,research_1,sampled_queries,pure bite,dcg,1.6309297535714575
2024-07-01,research_1,sampled_queries,queen size linen duvet cover,dcg,2.5616063116448506
